timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606765522151,9,https://qaedge.certain.com/svcs/session_catalog/app/confCustomField?active=true&limit=-1&name=&name.dir=asc&page=0&sort=name&eventId=2519&objectType=SESSION&isCustomFieldUsedInLayout=true&eventUUID=undefined,200,OK,Thread Group 1-8457,text,true,,2085,589,4555,4555,https://qaautomation8.certain.com/svcs/session_catalog/app/confCustomField?eventId=1299&isCustomFieldUsedInLayout=true&limit=-1&name=&active=true&name.dir=asc&eventUUID=undefined&page=0&sort=name&objectType=SESSION,9,0,0
1606765522161,9,https://qaedge.certain.com/svcs/session_catalog/app/account/findByUUID?uuid=8CEF4BFC-D1BF-441E-872F-160F92F45497&catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE,200,OK,Thread Group 1-8457,text,true,,2248,590,4556,4556,https://qaautomation8.certain.com/svcs/session_catalog/app/account/findByUUID?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=57C75760-3C93-43B0-BE62-CC3135850273&uuid=22CD28CA-EBBA-4618-8014-3F560313CEC4,9,0,0
1606765522170,26,https://qaedge.certain.com/svcs/session_catalog/app/event/findByUUID?uuid=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE&catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE,200,OK,Thread Group 1-8457,text,true,,3061,588,4558,4558,https://qaautomation8.certain.com/svcs/session_catalog/app/event/findByUUID?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=57C75760-3C93-43B0-BE62-CC3135850273&uuid=57C75760-3C93-43B0-BE62-CC3135850273,26,0,0
1606765522197,13,https://qaedge.certain.com/svcs/session_catalog/app/sessionInstanceDateList/?eventId=2519&catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE,200,OK,Thread Group 1-8457,text,true,,779,567,4560,4560,https://qaautomation8.certain.com/svcs/session_catalog/app/sessionInstanceDateList/?eventId=1299&catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=57C75760-3C93-43B0-BE62-CC3135850273,13,0,0
1606765522210,4127,https://qaedge.certain.com/svcs/session_catalog/app/es/instanceList?catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE,500,Internal Server Error,Thread Group 1-8457,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,503,742,4858,4858,https://qaautomation8.certain.com/svcs/session_catalog/app/es/instanceList?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=57C75760-3C93-43B0-BE62-CC3135850273,4127,0,0
1606765521972,4363,Open Catalog,500,"Number of samples in transaction : 7, number of failing samples : 1",Thread Group 1-8472,,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,49368,4122,4857,4857,null,0,4,43
1606765521972,66,https://qaedge.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=undefined,200,OK,Thread Group 1-8472,text,true,,39556,488,4528,4528,https://qaautomation8.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=undefined,54,0,43
1606765522040,11,https://qaautomation8.certain.com/svcs/session_catalog/app/confCustomField?active=true&limit=-1&name=&name.dir=asc&page=0&sort=name&eventId=2519&objectType=SPEAKER&eventUUID=undefined,200,OK,Thread Group 1-8472,text,true,,1136,558,4529,4529,https://qaautomation8.certain.com/svcs/session_catalog/app/confCustomField?eventId=1299&limit=-1&name=&active=true&name.dir=asc&eventUUID=undefined&page=0&sort=name&objectType=SPEAKER,11,0,0
1606765522051,12,https://qaedge.certain.com/svcs/session_catalog/app/confCustomField?active=true&limit=-1&name=&name.dir=asc&page=0&sort=name&eventId=2519&objectType=SESSION&isCustomFieldUsedInLayout=true&eventUUID=undefined,200,OK,Thread Group 1-8472,text,true,,2085,589,4538,4538,https://qaautomation8.certain.com/svcs/session_catalog/app/confCustomField?eventId=1299&isCustomFieldUsedInLayout=true&limit=-1&name=&active=true&name.dir=asc&eventUUID=undefined&page=0&sort=name&objectType=SESSION,12,0,0
1606765522063,10,https://qaedge.certain.com/svcs/session_catalog/app/account/findByUUID?uuid=8CEF4BFC-D1BF-441E-872F-160F92F45497&catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE,200,OK,Thread Group 1-8472,text,true,,2248,590,4541,4541,https://qaautomation8.certain.com/svcs/session_catalog/app/account/findByUUID?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=57C75760-3C93-43B0-BE62-CC3135850273&uuid=22CD28CA-EBBA-4618-8014-3F560313CEC4,10,0,0
